node1,node2,topic_similarity,temporal_similarity
1327,1328,0.0,-0.083
1328,1327,0.0,-0.083
1327,1329,1.0,-0.0578
1329,1327,1.0,-0.0578
1328,1329,1.0,-0.0578
1329,1328,1.0,-0.0578
1330,1331,1.0,-0.0578
1331,1330,1.0,-0.0578
1330,1332,0.0,-0.083
1332,1330,0.0,-0.083
1330,1333,0.0,-0.1867
1333,1330,0.0,-0.1867
1330,1329,1.0,-0.0578
1329,1330,1.0,-0.0578
1331,1332,0.8358994289206572,-0.083
1332,1331,0.8358994289206572,-0.083
1331,1333,0.6979735047590649,-0.1867
1333,1331,0.6979735047590649,-0.1867
1331,1329,0.0,-0.0578
1329,1331,0.0,-0.0578
1332,1333,0.0,-0.1043
1333,1332,0.0,-0.1043
1332,1329,1.0,-0.0323
1329,1332,1.0,-0.0323
1333,1329,1.0,-0.0323
1329,1333,1.0,-0.0323
