node1,node2,topic_similarity,temporal_similarity
3483,3484,0.8389305257051137,-0.0323
3484,3483,0.8389305257051137,-0.0323
3483,3485,0.8389305257051137,-0.0438
3485,3483,0.8389305257051137,-0.0438
3483,3486,0.8389305257051137,-0.0323
3486,3483,0.8389305257051137,-0.0323
3483,3487,0.8389305257051137,-0.0323
3487,3483,0.8389305257051137,-0.0323
3483,3488,0.8018024808261394,-0.0464
3488,3483,0.8018024808261394,-0.0464
3483,3489,0.7929676217859943,-0.0323
3489,3483,0.7929676217859943,-0.0323
3484,3485,0.8389305257051137,-0.0438
3485,3484,0.8389305257051137,-0.0438
3484,3486,0.8389305257051137,-0.0323
3486,3484,0.8389305257051137,-0.0323
3484,3487,0.8389305257051137,-0.0323
3487,3484,0.8389305257051137,-0.0323
3484,3488,0.8018024808261394,-0.0464
3488,3484,0.8018024808261394,-0.0464
3484,3489,0.7929676217859943,-0.0323
3489,3484,0.7929676217859943,-0.0323
3485,3486,0.8389305257051137,-0.0323
3486,3485,0.8389305257051137,-0.0323
3485,3487,0.8389305257051137,-0.0323
3487,3485,0.8389305257051137,-0.0323
3485,3488,0.8018024808261394,-0.0464
3488,3485,0.8018024808261394,-0.0464
3485,3489,0.7929676217859943,-0.0323
3489,3485,0.7929676217859943,-0.0323
3486,3487,0.8389305257051137,-0.0323
3487,3486,0.8389305257051137,-0.0323
3486,3488,0.8018024808261394,-0.0464
3488,3486,0.8018024808261394,-0.0464
3486,3489,0.7929676217859943,-0.0323
3489,3486,0.7929676217859943,-0.0323
3487,3488,0.8146700983671721,-0.0464
3488,3487,0.8146700983671721,-0.0464
3487,3489,0.8476767549871386,-0.0323
3489,3487,0.8476767549871386,-0.0323
3488,3489,0.8134887325389043,-0.0323
3489,3488,0.8134887325389043,-0.0323
3485,3490,0.7929676217859943,-0.0464
3490,3485,0.7929676217859943,-0.0464
3485,3489,0.7929676217859943,-0.0323
3489,3485,0.7929676217859943,-0.0323
3490,3489,0.8134887325389043,-0.0323
3489,3490,0.8134887325389043,-0.0323
