node1,node2,topic_similarity,temporal_similarity
744,745,0.0,-0.0578
745,744,0.0,-0.0578
746,747,0.0,0.0901
747,746,0.0,0.0901
746,745,0.0,-0.0578
745,746,0.0,-0.0578
747,745,0.0,-0.0578
745,747,0.0,-0.0578
747,748,1.0,-0.0578
748,747,1.0,-0.0578
747,749,1.0,-0.0323
749,747,1.0,-0.0323
747,750,1.0,-0.0323
750,747,1.0,-0.0323
747,751,1.0,-0.0323
751,747,1.0,-0.0323
747,752,0.0,-0.0323
752,747,0.0,-0.0323
748,749,1.0,-0.0733
749,748,1.0,-0.0733
748,750,1.0,-0.0733
750,748,1.0,-0.0733
748,751,1.0,-0.0733
751,748,1.0,-0.0733
748,752,0.0,-0.0733
752,748,0.0,-0.0733
749,750,1.0,1.0
750,749,1.0,1.0
749,751,1.0,1.0
751,749,1.0,1.0
749,752,0.0,-0.0323
752,749,0.0,-0.0323
750,751,1.0,0.6956
751,750,1.0,0.6956
750,752,0.0,-0.0464
752,750,0.0,-0.0464
751,752,0.7702696587073459,-0.1124
752,751,0.7702696587073459,-0.1124
747,753,0.0,-0.0464
753,747,0.0,-0.0464
747,754,0.0,-0.0323
754,747,0.0,-0.0323
747,755,0.0,-0.0464
755,747,0.0,-0.0464
747,756,0.0,-0.0578
756,747,0.0,-0.0578
747,757,0.0,-0.0578
757,747,0.0,-0.0578
747,752,0.0,-0.0323
752,747,0.0,-0.0323
753,754,0.7343850121595065,-0.0323
754,753,0.7343850121595065,-0.0323
753,755,0.6918369473195349,-0.0464
755,753,0.6918369473195349,-0.0464
753,756,0.8178424630771131,-0.0578
756,753,0.8178424630771131,-0.0578
753,757,0.7998399715100383,-0.0578
757,753,0.7998399715100383,-0.0578
753,752,0.7343850121595065,-0.0323
752,753,0.7343850121595065,-0.0323
754,755,0.6918369473195349,-0.0464
755,754,0.6918369473195349,-0.0464
754,756,0.8178424630771131,-0.0578
756,754,0.8178424630771131,-0.0578
754,757,0.7998399715100383,-0.0578
757,754,0.7998399715100383,-0.0578
754,752,0.7343850121595065,-0.0323
752,754,0.7343850121595065,-0.0323
755,756,0.8178424630771131,-0.0578
756,755,0.8178424630771131,-0.0578
755,757,0.7998399715100383,-0.0578
757,755,0.7998399715100383,-0.0578
755,752,0.7343850121595065,-0.0323
752,755,0.7343850121595065,-0.0323
756,757,0.8817383247746139,-0.0578
757,756,0.8817383247746139,-0.0578
756,752,0.7834438180171287,-0.0323
752,756,0.7834438180171287,-0.0323
757,752,0.0,-0.0323
752,757,0.0,-0.0323
758,745,0.9179375123849006,0.8665
745,758,0.9179375123849006,0.8665
758,759,0.8723517473762632,-0.0323
759,758,0.8723517473762632,-0.0323
745,759,0.0,-0.0323
759,745,0.0,-0.0323
