node1,node2,topic_similarity,temporal_similarity
6677,6678,0.0,-0.0323
6678,6677,0.0,-0.0323
6677,6679,0.0,-0.0323
6679,6677,0.0,-0.0323
6677,6680,0.0,-0.0323
6680,6677,0.0,-0.0323
6678,6679,0.0,-0.0323
6679,6678,0.0,-0.0323
6678,6680,0.0,-0.0323
6680,6678,0.0,-0.0323
6679,6680,0.0,-0.0323
6680,6679,0.0,-0.0323
6678,6681,0.0,-0.0323
6681,6678,0.0,-0.0323
6678,6682,0.0,-0.0323
6682,6678,0.0,-0.0323
6678,6680,0.0,-0.0323
6680,6678,0.0,-0.0323
6681,6682,0.0,-0.0323
6682,6681,0.0,-0.0323
6681,6680,0.0,-0.0323
6680,6681,0.0,-0.0323
6682,6680,0.0,-0.0323
6680,6682,0.0,-0.0323
