node1,node2,topic_similarity,temporal_similarity
3227,3228,0.6444346396153182,-0.0438
3228,3227,0.6444346396153182,-0.0438
3227,3229,0.7158276174135876,-0.0323
3229,3227,0.7158276174135876,-0.0323
3227,3230,0.0,-0.0578
3230,3227,0.0,-0.0578
3227,3231,0.7238149972240973,-0.0578
3231,3227,0.7238149972240973,-0.0578
3228,3229,0.7158276174135876,-0.0323
3229,3228,0.7158276174135876,-0.0323
3228,3230,0.0,-0.0578
3230,3228,0.0,-0.0578
3228,3231,0.7238149972240973,-0.0578
3231,3228,0.7238149972240973,-0.0578
3229,3230,0.0,-0.0578
3230,3229,0.0,-0.0578
3229,3231,0.0,-0.0578
3231,3229,0.0,-0.0578
3230,3231,0.0,-0.0578
3231,3230,0.0,-0.0578
3232,3227,0.0,-0.0578
3227,3232,0.0,-0.0578
3232,3233,0.0,-0.0323
3233,3232,0.0,-0.0323
3232,3234,0.0,-0.0464
3234,3232,0.0,-0.0464
3227,3233,0.0,-0.0323
3233,3227,0.0,-0.0323
3227,3234,0.71979994646954,-0.0464
3234,3227,0.71979994646954,-0.0464
3233,3234,0.0,-0.0464
3234,3233,0.0,-0.0464
