node1,node2,topic_similarity,temporal_similarity
5823,5824,1.0,-0.0464
5824,5823,1.0,-0.0464
5823,5825,1.0,-0.0323
5825,5823,1.0,-0.0323
5824,5825,0.0,-0.0911
5825,5824,0.0,-0.0911
5826,5827,1.0,-0.0323
5827,5826,1.0,-0.0323
5826,5828,1.0,-0.0323
5828,5826,1.0,-0.0323
5826,5829,1.0,-0.0323
5829,5826,1.0,-0.0323
5826,5830,1.0,-0.0323
5830,5826,1.0,-0.0323
5826,5831,1.0,-0.0323
5831,5826,1.0,-0.0323
5827,5828,1.0,-0.0323
5828,5827,1.0,-0.0323
5827,5829,1.0,-0.0323
5829,5827,1.0,-0.0323
5827,5830,1.0,-0.0323
5830,5827,1.0,-0.0323
5827,5831,1.0,-0.0323
5831,5827,1.0,-0.0323
5828,5829,1.0,-0.0323
5829,5828,1.0,-0.0323
5828,5830,1.0,-0.0323
5830,5828,1.0,-0.0323
5828,5831,1.0,-0.0323
5831,5828,1.0,-0.0323
5829,5830,1.0,-0.0323
5830,5829,1.0,-0.0323
5829,5831,1.0,-0.0323
5831,5829,1.0,-0.0323
5830,5831,1.0,-0.0323
5831,5830,1.0,-0.0323
5832,5833,1.0,-0.0323
5833,5832,1.0,-0.0323
5834,5835,1.0,-0.0323
5835,5834,1.0,-0.0323
5834,5826,1.0,-0.0323
5826,5834,1.0,-0.0323
5834,5836,1.0,-0.0323
5836,5834,1.0,-0.0323
5834,5837,1.0,-0.0323
5837,5834,1.0,-0.0323
5834,5838,1.0,-0.0323
5838,5834,1.0,-0.0323
5835,5826,0.0,-0.0323
5826,5835,0.0,-0.0323
5835,5836,0.0,-0.0323
5836,5835,0.0,-0.0323
5835,5837,0.0,-0.0323
5837,5835,0.0,-0.0323
5835,5838,0.0,-0.0323
5838,5835,0.0,-0.0323
5826,5836,1.0,-0.0323
5836,5826,1.0,-0.0323
5826,5837,1.0,-0.0323
5837,5826,1.0,-0.0323
5826,5838,1.0,-0.0323
5838,5826,1.0,-0.0323
5836,5837,1.0,-0.0323
5837,5836,1.0,-0.0323
5836,5838,1.0,-0.0323
5838,5836,1.0,-0.0323
5837,5838,1.0,-0.0323
5838,5837,1.0,-0.0323
5839,5826,1.0,-0.0323
5826,5839,1.0,-0.0323
5839,5840,1.0,-0.0323
5840,5839,1.0,-0.0323
5839,5841,1.0,-0.0323
5841,5839,1.0,-0.0323
5839,5842,0.0,-0.0323
5842,5839,0.0,-0.0323
5839,5843,0.0,-0.0323
5843,5839,0.0,-0.0323
5839,5844,0.0,-0.0323
5844,5839,0.0,-0.0323
5826,5840,1.0,-0.0323
5840,5826,1.0,-0.0323
5826,5841,1.0,-0.0323
5841,5826,1.0,-0.0323
5826,5842,0.0,-0.0323
5842,5826,0.0,-0.0323
5826,5843,0.0,-0.0323
5843,5826,0.0,-0.0323
5826,5844,0.0,-0.0323
5844,5826,0.0,-0.0323
5840,5841,1.0,-0.0323
5841,5840,1.0,-0.0323
5840,5842,0.0,-0.0323
5842,5840,0.0,-0.0323
5840,5843,0.0,-0.0323
5843,5840,0.0,-0.0323
5840,5844,0.0,-0.0323
5844,5840,0.0,-0.0323
5841,5842,0.0,-0.0323
5842,5841,0.0,-0.0323
5841,5843,0.0,-0.0323
5843,5841,0.0,-0.0323
5841,5844,0.0,-0.0323
5844,5841,0.0,-0.0323
5842,5843,0.0,-0.0323
5843,5842,0.0,-0.0323
5842,5844,0.0,-0.0323
5844,5842,0.0,-0.0323
5843,5844,0.0,-0.0323
5844,5843,0.0,-0.0323
5845,5846,1.0,-0.0323
5846,5845,1.0,-0.0323
5845,5847,1.0,-0.0323
5847,5845,1.0,-0.0323
5845,5848,1.0,-0.0323
5848,5845,1.0,-0.0323
5845,5849,1.0,-0.0323
5849,5845,1.0,-0.0323
5845,5850,0.0,-0.0323
5850,5845,0.0,-0.0323
5845,5851,0.0,-0.0323
5851,5845,0.0,-0.0323
5846,5847,0.0,-0.0323
5847,5846,0.0,-0.0323
5846,5848,0.0,-0.0323
5848,5846,0.0,-0.0323
5846,5849,0.0,-0.0323
5849,5846,0.0,-0.0323
5846,5850,0.8012022936513288,-0.0323
5850,5846,0.8012022936513288,-0.0323
5846,5851,0.8012022936513288,-0.0323
5851,5846,0.8012022936513288,-0.0323
5847,5848,1.0,-0.0323
5848,5847,1.0,-0.0323
5847,5849,1.0,-0.0323
5849,5847,1.0,-0.0323
5847,5850,0.0,-0.0323
5850,5847,0.0,-0.0323
5847,5851,0.0,-0.0323
5851,5847,0.0,-0.0323
5848,5849,1.0,-0.0323
5849,5848,1.0,-0.0323
5848,5850,0.0,-0.0323
5850,5848,0.0,-0.0323
5848,5851,0.0,-0.0323
5851,5848,0.0,-0.0323
5849,5850,0.0,-0.0323
5850,5849,0.0,-0.0323
5849,5851,0.0,-0.0323
5851,5849,0.0,-0.0323
5850,5851,0.0,-0.0323
5851,5850,0.0,-0.0323
5825,5852,0.0,-0.0323
5852,5825,0.0,-0.0323
5825,5853,0.0,-0.0323
5853,5825,0.0,-0.0323
5825,5833,1.0,-0.0323
5833,5825,1.0,-0.0323
5852,5853,0.0,-0.0323
5853,5852,0.0,-0.0323
5852,5833,1.0,-0.0323
5833,5852,1.0,-0.0323
5853,5833,0.0,-0.0323
5833,5853,0.0,-0.0323
5854,5839,0.0,-0.0323
5839,5854,0.0,-0.0323
5854,5825,0.0,-0.0323
5825,5854,0.0,-0.0323
5854,5851,0.8420831140157397,-0.0323
5851,5854,0.8420831140157397,-0.0323
5839,5825,1.0,-0.0323
5825,5839,1.0,-0.0323
5839,5851,0.0,-0.0323
5851,5839,0.0,-0.0323
5825,5851,0.0,-0.0323
5851,5825,0.0,-0.0323
