node1,node2,topic_similarity,temporal_similarity
6453,6454,0.0,-0.0323
6454,6453,0.0,-0.0323
6453,6455,0.0,-0.0323
6455,6453,0.0,-0.0323
6453,6456,0.0,-0.0323
6456,6453,0.0,-0.0323
6454,6455,0.0,-0.0323
6455,6454,0.0,-0.0323
6454,6456,0.0,-0.0323
6456,6454,0.0,-0.0323
6455,6456,0.0,-0.0323
6456,6455,0.0,-0.0323
6457,6458,0.0,-0.0323
6458,6457,0.0,-0.0323
6457,6459,0.0,-0.0323
6459,6457,0.0,-0.0323
6457,6460,0.0,-0.0323
6460,6457,0.0,-0.0323
6458,6459,0.0,-0.0323
6459,6458,0.0,-0.0323
6458,6460,0.0,-0.0323
6460,6458,0.0,-0.0323
6459,6460,0.0,-0.0323
6460,6459,0.0,-0.0323
6459,6461,0.0,-0.0323
6461,6459,0.0,-0.0323
6459,6460,0.0,-0.0323
6460,6459,0.0,-0.0323
6462,6463,0.0,-0.0323
6463,6462,0.0,-0.0323
6462,6464,0.0,-0.0323
6464,6462,0.0,-0.0323
6462,6465,0.7687559867682756,-0.0323
6465,6462,0.7687559867682756,-0.0323
6463,6464,0.0,-0.0323
6464,6463,0.0,-0.0323
6463,6465,0.7687559867682756,-0.0323
6465,6463,0.7687559867682756,-0.0323
6464,6465,0.7687559867682756,-0.0323
6465,6464,0.7687559867682756,-0.0323
6466,6467,0.5266556596380504,-0.0323
6467,6466,0.5266556596380504,-0.0323
6466,6468,0.0,-0.0323
6468,6466,0.0,-0.0323
6466,6469,0.0,-0.0323
6469,6466,0.0,-0.0323
6466,6461,0.0,-0.0323
6461,6466,0.0,-0.0323
6467,6468,0.0,-0.0323
6468,6467,0.0,-0.0323
6467,6469,0.0,-0.0323
6469,6467,0.0,-0.0323
6467,6461,0.0,-0.0323
6461,6467,0.0,-0.0323
6468,6469,0.0,-0.0464
6469,6468,0.0,-0.0464
6468,6461,0.0,-0.0464
6461,6468,0.0,-0.0464
6469,6461,0.0,-0.0323
6461,6469,0.0,-0.0323
6470,6459,0.0,-0.0323
6459,6470,0.0,-0.0323
6470,6461,0.0,-0.0323
6461,6470,0.0,-0.0323
6470,6471,0.0,-0.0323
6471,6470,0.0,-0.0323
6459,6461,0.0,-0.0323
6461,6459,0.0,-0.0323
6459,6471,0.0,-0.0323
6471,6459,0.0,-0.0323
6461,6471,0.0,-0.0323
6471,6461,0.0,-0.0323
6472,6473,0.0,-0.0323
6473,6472,0.0,-0.0323
6472,6474,0.0,-0.0323
6474,6472,0.0,-0.0323
6472,6454,0.0,-0.0323
6454,6472,0.0,-0.0323
6472,6459,0.0,-0.0323
6459,6472,0.0,-0.0323
6473,6474,0.0,-0.0323
6474,6473,0.0,-0.0323
6473,6454,0.0,-0.0323
6454,6473,0.0,-0.0323
6473,6459,0.0,-0.0323
6459,6473,0.0,-0.0323
6474,6454,0.0,-0.0323
6454,6474,0.0,-0.0323
6474,6459,0.0,-0.0323
6459,6474,0.0,-0.0323
6454,6459,0.0,-0.0323
6459,6454,0.0,-0.0323
6464,6462,0.0,-0.0323
6462,6464,0.0,-0.0323
6475,6456,0.0,-0.0323
6456,6475,0.0,-0.0323
6475,6462,0.0,-0.0323
6462,6475,0.0,-0.0323
6456,6462,0.0,-0.0323
6462,6456,0.0,-0.0323
6476,6477,0.0,-0.0323
6477,6476,0.0,-0.0323
6476,6478,0.0,-0.0323
6478,6476,0.0,-0.0323
6476,6479,0.0,-0.0323
6479,6476,0.0,-0.0323
6476,6462,0.0,-0.0323
6462,6476,0.0,-0.0323
6477,6478,0.0,-0.0323
6478,6477,0.0,-0.0323
6477,6479,0.0,-0.0323
6479,6477,0.0,-0.0323
6477,6462,0.0,-0.0323
6462,6477,0.0,-0.0323
6478,6479,0.0,-0.0323
6479,6478,0.0,-0.0323
6478,6462,0.0,-0.0323
6462,6478,0.0,-0.0323
6479,6462,0.0,-0.0578
6462,6479,0.0,-0.0578
6480,6462,0.0,-0.0323
6462,6480,0.0,-0.0323
6481,6459,0.0,-0.0323
6459,6481,0.0,-0.0323
