node1,node2,topic_similarity,temporal_similarity
1169,1170,0.0,-0.0323
1170,1169,0.0,-0.0323
1169,1171,0.0,-0.0323
1171,1169,0.0,-0.0323
1169,1172,0.0,-0.0323
1172,1169,0.0,-0.0323
1169,1173,0.0,-0.0679
1173,1169,0.0,-0.0679
1169,1174,0.0,-0.0323
1174,1169,0.0,-0.0323
1170,1171,0.0,-0.0323
1171,1170,0.0,-0.0323
1170,1172,0.0,-0.0323
1172,1170,0.0,-0.0323
1170,1173,0.0,-0.0679
1173,1170,0.0,-0.0679
1170,1174,0.0,-0.0323
1174,1170,0.0,-0.0323
1171,1172,0.0,-0.0323
1172,1171,0.0,-0.0323
1171,1173,0.0,-0.0679
1173,1171,0.0,-0.0679
1171,1174,0.0,-0.0323
1174,1171,0.0,-0.0323
1172,1173,0.0,-0.0679
1173,1172,0.0,-0.0679
1172,1174,0.0,-0.0323
1174,1172,0.0,-0.0323
1173,1174,0.0,-0.0464
1174,1173,0.0,-0.0464
