node1,node2,topic_similarity,temporal_similarity
5771,5772,0.7507299133369353,-0.0464
5772,5771,0.7507299133369353,-0.0464
5771,5773,0.6761326907962776,-0.0438
5773,5771,0.6761326907962776,-0.0438
5772,5773,0.6761326907962776,-0.0438
5773,5772,0.6761326907962776,-0.0438
5774,5771,0.7507299133369353,-0.0464
5771,5774,0.7507299133369353,-0.0464
5775,5776,0.6469792144763818,-0.0323
5776,5775,0.6469792144763818,-0.0323
5775,5771,0.7507299133369353,-0.0464
5771,5775,0.7507299133369353,-0.0464
5776,5771,0.0,-0.0464
5771,5776,0.0,-0.0464
5771,5775,0.6469792144763818,-0.0323
5775,5771,0.6469792144763818,-0.0323
5771,5777,0.0,-0.0323
5777,5771,0.0,-0.0323
5775,5777,0.0,-0.0323
5777,5775,0.0,-0.0323
5774,5771,0.7507299133369353,-0.0464
5771,5774,0.7507299133369353,-0.0464
5774,5778,0.0,-0.0323
5778,5774,0.0,-0.0323
5771,5778,0.0,-0.0323
5778,5771,0.0,-0.0323
5775,5771,0.7507299133369353,-0.0464
5771,5775,0.7507299133369353,-0.0464
5775,5779,0.8353020679697549,-0.0323
5779,5775,0.8353020679697549,-0.0323
5775,5780,0.8353020679697549,-0.0323
5780,5775,0.8353020679697549,-0.0323
5771,5779,0.8353020679697549,-0.0323
5779,5771,0.8353020679697549,-0.0323
5771,5780,0.8353020679697549,-0.0323
5780,5771,0.8353020679697549,-0.0323
5779,5780,0.0,-0.0323
5780,5779,0.0,-0.0323
