node1,node2,topic_similarity,temporal_similarity
3220,3221,0.0,-0.0323
3221,3220,0.0,-0.0323
3220,3222,0.0,-0.0323
3222,3220,0.0,-0.0323
3220,3223,0.0,-0.0578
3223,3220,0.0,-0.0578
3221,3222,0.0,-0.0323
3222,3221,0.0,-0.0323
3221,3223,0.0,-0.0578
3223,3221,0.0,-0.0578
3222,3223,0.0,-0.0578
3223,3222,0.0,-0.0578
3224,3225,0.7616020688528754,-0.0323
3225,3224,0.7616020688528754,-0.0323
3224,3226,0.7704930903587829,-0.0679
3226,3224,0.7704930903587829,-0.0679
3224,3221,0.7616020688528754,-0.0323
3221,3224,0.7616020688528754,-0.0323
3224,3223,0.7407868735556313,0.5584
3223,3224,0.7407868735556313,0.5584
3225,3226,0.9033907046625934,-0.0976
3226,3225,0.9033907046625934,-0.0976
3225,3221,0.912706721019462,-0.0464
3221,3225,0.912706721019462,-0.0464
3225,3223,0.9045019465413192,-0.083
3223,3225,0.9045019465413192,-0.083
3226,3221,0.0,-0.0323
3221,3226,0.0,-0.0323
3226,3223,0.0,-0.0578
3223,3226,0.0,-0.0578
3221,3223,0.0,-0.0578
3223,3221,0.0,-0.0578
