node1,node2,topic_similarity,temporal_similarity
4544,4545,0.8315151615868821,-0.0323
4545,4544,0.8315151615868821,-0.0323
4544,4546,0.8523109489805625,-0.0464
4546,4544,0.8523109489805625,-0.0464
4544,4547,0.8315151615868821,-0.0323
4547,4544,0.8315151615868821,-0.0323
4545,4546,0.8563663447952823,-0.0796
4546,4545,0.8563663447952823,-0.0796
4545,4547,0.8440424674924627,-0.0554
4547,4545,0.8440424674924627,-0.0554
4546,4547,0.8500689932527912,-0.0464
4547,4546,0.8500689932527912,-0.0464
4546,4547,0.8500689932527912,-0.0464
4547,4546,0.8500689932527912,-0.0464
