node1,node2,topic_similarity,temporal_similarity
3675,3676,1.0,-0.0323
3676,3675,1.0,-0.0323
3675,3677,1.0,-0.0323
3677,3675,1.0,-0.0323
3676,3677,1.0,-0.0323
3677,3676,1.0,-0.0323
3677,3678,0.0,-0.0323
3678,3677,0.0,-0.0323
3677,3679,0.0,-0.0323
3679,3677,0.0,-0.0323
3678,3679,0.0,-0.0323
3679,3678,0.0,-0.0323
3675,3676,1.0,-0.0323
3676,3675,1.0,-0.0323
3675,3680,1.0,-0.0323
3680,3675,1.0,-0.0323
3675,3677,1.0,-0.0323
3677,3675,1.0,-0.0323
3676,3680,1.0,-0.0323
3680,3676,1.0,-0.0323
3676,3677,1.0,-0.0323
3677,3676,1.0,-0.0323
3680,3677,0.0,-0.0464
3677,3680,0.0,-0.0464
