node1,node2,topic_similarity,temporal_similarity
1175,1176,1.0,-0.0323
1176,1175,1.0,-0.0323
1175,1177,1.0,-0.0323
1177,1175,1.0,-0.0323
1175,1178,1.0,-0.0323
1178,1175,1.0,-0.0323
1175,1179,1.0,-0.0323
1179,1175,1.0,-0.0323
1175,1180,1.0,-0.0323
1180,1175,1.0,-0.0323
1176,1177,1.0,-0.0464
1177,1176,1.0,-0.0464
1176,1178,1.0,-0.0464
1178,1176,1.0,-0.0464
1176,1179,1.0,-0.0464
1179,1176,1.0,-0.0464
1176,1180,1.0,-0.0464
1180,1176,1.0,-0.0464
1177,1178,0.0,-0.0464
1178,1177,0.0,-0.0464
1177,1179,0.0,-0.0464
1179,1177,0.0,-0.0464
1177,1180,0.0,-0.0464
1180,1177,0.0,-0.0464
1178,1179,0.0,-0.0578
1179,1178,0.0,-0.0578
1178,1180,0.0,-0.0578
1180,1178,0.0,-0.0578
1179,1180,0.0,-0.0323
1180,1179,0.0,-0.0323
